code,name,english-name,population
DE-BW,Baden-Württemberg,Baden-Wurttemberg,11100394
DE-BY,Bayern,Bavaria,13124737
DE-BE,Berlin,Berlin,3669491
DE-BB,Brandenburg,Brandenburg,2521893
DE-HB,Bremen,Bremen,681202
DE-HH,Hamburg,Hamburg,1847253 
DE-HE,Hessen,Hesse,6288080
DE-MV,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,1608138
DE-NI,Niedersachsen,Lower Saxony,7993608
DE-NW,Nordrhein-Westfalen,North Rhine-Westphalia,17947221
DE-RP,Rheinland-Pfalz,Rhineland-Palatinate,4093903
DE-SL,Saarland,Saarland,986887
DE-SN,Sachsen,Saxony,4071971
DE-ST,Sachsen-Anhalt,Saxony-Anhalt,2194782
DE-SH,Schleswig-Holstein,Schleswig-Holstein,2903773
DE-TH,Thüringen,Thuringia,2133378
