code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5595806	4219873	1395236
DE-BY	6760059	5225534	1541184
DE-BE	1830887	1317493	517147
DE-BB	1190685	853162	339153
DE-HB	378525	270335	109970
DE-HH	907049	689634	218535
DE-HE	3143088	2442667	701159
DE-MV	844514	654665	191591
DE-NI	4054912	3202080	874916
DE-NW	9453617	7367239	2093794
DE-RP	2098267	1516763	581504
DE-SL	559800	424447	135359
DE-SN	2032187	1372449	662852
DE-ST	1087253	815336	275687
DE-SH	1468717	1043395	429075
DE-TH	1101370	757591	343910
